model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.08759437335014128,0.9040287335945816,0.05326684321973913,0.08621569733805785,0.9285136067896638,0.05503134542427161
Ridge_Regression,0.08759552402305969,0.9040262121480933,0.05326759424879277,0.08624063181496912,0.9284722515926106,0.0550350194259115
Lasso_Regression,0.13448349356331632,0.7737822020144539,0.10247875606849265,0.1483117055563833,0.7884555900563451,0.11483165572645816
ElasticNet,0.11537405143613788,0.8335035061250756,0.08267340719317287,0.12116470571012616,0.8588103184276001,0.08954849557717094
Random_Forest,0.09460443020620578,0.8880531818314239,0.057148893011214154,0.09262499664460622,0.9174899014876898,0.05965261177722064
Extra_Trees,0.09583976698820601,0.8851105093863791,0.05825894252229679,0.0918632378965661,0.9188414661254252,0.060164047840042985
Gradient_Boosting,0.10736133932404471,0.8558267638412329,0.06649400834404527,0.10148023860212044,0.9009593106549733,0.06577370622382048
XGBoost,0.09328215311503842,0.8911606525731195,0.05763978822873188,0.09026655706197921,0.9216381913930284,0.059235441126504994
LightGBM,0.09702852288230697,0.8822427525843217,0.05947967041271416,0.09195288244625541,0.9186829920667887,0.059693284320641096
SVR,0.15055861838915985,0.7164693280584351,0.09888104238532798,0.15281616660371783,0.7754105779603678,0.10119348803118618
