Station,Best_Model,RMSE,R2,Feature_Selection,Features_Count
Ban_Had_Paeng,Extra_Trees,0.24047887521413072,0.9691505228591571,ENABLED,35→25
Ban_Kengdone,Random_Forest,0.31166505154936125,0.9705750138994185,ENABLED,35→26
Ban_Mai_Singsamphan,Extra_Trees,0.2751590996054923,0.9641874904251297,ENABLED,35→26
Ban_Mixai,Extra_Trees,0.26374233022969884,0.9537898798633722,ENABLED,35→25
Ban_Nape,Linear_Regression,0.16230413222121434,0.9554893524946533,ENABLED,35→25
Ban_Tha_Kok_Daeng,Gradient_Boosting,0.29394997900130415,0.9664048810594557,ENABLED,35→25
Ban_Veunkhen,Gradient_Boosting,0.32855044933188593,0.9703724186445397,ENABLED,35→26
Bueng_Kan,XGBoost,0.27974183243809825,0.9550837405054569,ENABLED,35→25
Can_Tho,Linear_Regression,0.08621569733805785,0.9285136067896638,ENABLED,35→27
Chaktomuk,Extra_Trees,0.23792207646688254,0.9710503023688078,ENABLED,35→25
Chau_Doc,XGBoost,0.19212859032637286,0.9409137947051359,ENABLED,35→27
Kamrieng,Linear_Regression,0.15601150682565085,0.9568942121254028,ENABLED,35→27
Koh_Khel,Extra_Trees,0.2929203839015347,0.9353460495705971,ENABLED,35→27
Kompong_Cham,Extra_Trees,0.34137540108576336,0.9679799448334804,ENABLED,35→25
Kratie,Gradient_Boosting,0.21945169933703526,0.9833009982437518,ENABLED,35→26
Muang_Kao,XGBoost,0.2756365605753582,0.9415940554534017,ENABLED,35→26
Muong_Ngoy,Extra_Trees,0.31380361605069357,0.9557359559308909,ENABLED,35→24
My_Thuan,Extra_Trees,0.07836179504303908,0.9429661587609761,ENABLED,35→26
Neak_Luong,Random_Forest,0.28806969756685,0.9400510994105709,ENABLED,35→23
Nong_Khai_2,Gradient_Boosting,0.2743007984834912,0.9612051083382798,ENABLED,35→26
Pha_Phin,Extra_Trees,0.2861799811957079,0.9590040841889053,ENABLED,35→24
Phnom_Koy,Linear_Regression,0.0,1.0,ENABLED,35→32
Prek_Kdam,Gradient_Boosting,0.3398836568195558,0.934595387053202,ENABLED,35→26
Siempang,Extra_Trees,0.2954693543188085,0.961877408642545,ENABLED,35→26
Stung_Treng,Gradient_Boosting,0.27002064136265974,0.9582682704746375,ENABLED,35→24
Tan_Chau,Linear_Regression,0.24835808799252243,0.9186911216064332,ENABLED,35→25
